ReportID,RelativeRecommendation,RelativeAnaExperience,RelativeCoNumber,RelativeNumber,IsStarAnalyst,AnalystExperience,FollowCoNumber,ForecastNumber,roe,LOSS
7862935,0.0,10.57,1.06,6.0,0.0,21.76,4.0,11.0,0.1059648047385949,0.0
7862823,-1.0,0.28,4.42,113.84,0.0,11.29,23.0,72.0,0.1059648047385949,0.0
7861371,0.0,-10.1,-11.53,-85.05,1.0,0.91,11.0,18.0,0.1059648047385949,0.0
7860551,0.0,-3.73,10.47,139.95,0.0,7.29,27.0,152.0,0.1059648047385949,0.0
7860519,0.0,-6.19,8.47,-6.05,0.0,4.82,25.0,80.0,0.1059648047385949,0.0
7858719,-1.0,-7.84,-11.94,-53.0,0.0,3.34,7.0,37.0,0.1059648047385949,0.0
7848559,0.0,-3.72,-9.89,-36.83,0.0,7.46,8.0,39.0,0.1059648047385949,0.0
7832619,-1.0,0.6,4.45,106.55,0.0,11.29,23.0,72.0,0.1059648047385949,0.0
7832279,-1.0,5.49,-2.55,-65.45,1.0,16.18,19.0,38.0,0.1059648047385949,0.0
7830807,0.0,-9.78,-14.55,-90.45,1.0,0.91,11.0,18.0,0.1059648047385949,0.0
7830395,-1.0,18.81,-0.55,75.55,0.0,29.5,14.0,25.0,0.1059648047385949,0.0
7830151,0.0,-8.82,-18.21,-97.14,0.0,1.5,4.0,10.0,0.1059648047385949,0.0
7828419,0.0,-9.58,-15.55,-91.45,0.0,1.11,6.0,7.0,0.1059648047385949,0.0
7827681,-1.0,-7.35,-12.55,-61.45,0.0,3.34,7.0,37.0,0.1059648047385949,0.0
7827501,-1.0,-0.55,2.79,-22.14,0.0,9.78,22.0,61.0,0.1059648047385949,0.0
7826749,-1.0,-3.78,-2.55,-53.45,0.0,6.91,11.0,22.0,0.1059648047385949,0.0
7826601,0.0,-1.82,-1.55,12.55,1.0,8.87,14.0,56.0,0.1059648047385949,0.0
7826207,0.0,-3.24,-10.55,-44.45,0.0,7.46,8.0,39.0,0.1059648047385949,0.0
7815487,0.0,-7.85,-15.33,-84.33,0.0,1.11,6.0,7.0,0.1059648047385949,0.0
7805109,0.0,-2.23,-9.73,-42.73,0.0,7.46,8.0,39.0,0.1059648047385949,0.0
7796727,0.0,-5.73,-7.17,-38.61,0.0,5.29,18.0,49.0,0.1059648047385949,0.0
9991457,0.5,14.94,8.58,19.33,0.0,22.48,10.0,28.0,0.20623022098704197,1.0
7785975,0.0,-3.52,-11.22,-36.17,0.0,7.46,8.0,39.0,0.1059648047385949,0.0
7785967,-1.0,17.99,-4.17,42.39,0.0,29.01,5.0,31.0,0.1059648047385949,0.0
7782861,-1.0,10.74,-0.17,9.39,0.0,21.76,4.0,11.0,0.1059648047385949,0.0
7780727,-1.0,-6.79,-13.36,-50.45,0.0,3.34,7.0,37.0,0.1059648047385949,0.0
7780623,-1.0,-0.35,3.64,-11.45,0.0,9.78,22.0,61.0,0.1059648047385949,0.0
7780579,0.0,-5.31,5.64,2.55,0.0,4.82,25.0,80.0,0.1059648047385949,0.0
7778805,0.0,-2.15,-2.17,18.39,1.0,8.87,14.0,56.0,0.1059648047385949,0.0
7775957,0.0,-2.67,-11.36,-34.45,0.0,7.46,8.0,39.0,0.1059648047385949,0.0
7747391,0.0,-3.58,-11.09,-37.04,0.0,7.46,8.0,39.0,0.1059648047385949,0.0
7728959,-1.0,-7.77,-13.09,-53.87,0.0,3.34,7.0,37.0,0.1059648047385949,0.0
7725925,0.0,-3.66,-11.09,-37.87,0.0,7.46,8.0,39.0,0.1059648047385949,0.0
7717221,0.0,-9.68,-17.46,-75.71,0.0,1.5,4.0,10.0,0.1059648047385949,0.0
7713215,0.0,-3.71,-11.04,-38.43,0.0,7.46,8.0,39.0,0.1059648047385949,0.0
7704741,0.0,-2.34,-2.04,17.7,1.0,8.87,14.0,56.0,0.1059648047385949,0.0
7701551,0.0,-3.92,9.96,126.91,0.0,7.29,27.0,152.0,0.1059648047385949,0.0
7701451,0.0,-5.94,7.96,56.91,0.0,5.27,24.0,118.0,0.1059648047385949,0.0
7701351,-1.0,-7.85,-13.04,-53.96,0.0,3.34,7.0,37.0,0.1059648047385949,0.0
